,carat,cut,color,clarity,depth,table,price
7855,1.0,3,7,3,59.8,59.0,5671
7856,1.07,4,3,3,60.9,57.0,5123
7857,0.59,4,5,6,62.1,57.0,2551
7858,0.7,3,5,2,62.9,56.0,2131
7859,1.01,5,3,2,59.4,59.0,3999
7860,1.22,5,2,5,59.4,60.0,6504
7861,0.3,4,7,5,60.8,56.0,885
7862,1.24,4,2,2,61.8,58.0,5866
7863,0.24,3,6,6,62.2,60.0,485
7864,0.9,5,6,3,62.3,61.0,3800
7865,1.01,4,4,6,61.1,57.0,8029
7866,0.32,5,4,4,60.8,59.0,561
7867,1.18,4,6,6,61.5,57.0,11906
7868,0.56,4,4,7,62.3,55.0,2055
7869,0.75,5,4,2,58.8,60.0,2070
7870,0.71,3,4,2,63.2,59.0,2107
7871,0.27,4,4,8,62.0,56.0,627
7872,1.11,4,3,3,61.6,56.0,5358
7873,0.24,3,1,6,62.8,57.0,336
7874,0.72,4,4,5,61.6,56.0,3478
7875,1.51,5,2,3,61.7,60.0,9344
7876,2.01,5,5,3,63.0,59.0,15134
7877,0.31,4,7,4,61.8,55.0,734
7878,0.92,3,5,3,63.5,58.0,3967
7879,0.32,5,4,2,62.4,59.0,540
7880,0.3,4,7,4,62.2,55.0,911
7881,0.31,5,5,5,61.8,60.0,680
7882,0.29,4,4,4,61.6,56.0,525
7883,0.61,5,5,6,59.7,58.0,2392
7884,1.01,3,3,5,59.6,58.0,5055
7885,0.78,4,6,2,61.0,56.0,3053
7886,0.7,3,4,4,58.2,60.0,2282
7887,0.43,4,4,3,62.6,56.0,789
7888,0.56,4,3,3,62.3,53.0,1270
7889,0.37,4,5,7,61.3,56.0,997
7890,1.61,3,6,2,62.6,60.0,10293
7891,0.3,1,5,3,63.1,58.0,496
7892,0.9,2,4,5,63.7,56.0,4540
7893,0.42,3,3,3,61.5,54.0,670
7894,0.23,3,6,6,63.0,58.0,498
7895,0.7,4,2,3,62.8,56.0,2287
7896,1.01,5,4,4,59.2,59.0,6108
7897,0.34,5,7,3,62.0,56.0,803
7898,1.19,4,4,7,61.6,59.0,10508
7899,1.21,3,2,5,59.4,60.0,5865
7900,0.33,5,4,5,60.3,59.0,854
7901,0.3,4,7,3,61.0,58.0,547
7902,1.34,4,2,6,61.4,56.0,8079
7903,1.0,3,4,6,60.7,56.0,7215
7904,1.03,4,5,2,60.9,56.0,4891
7905,0.4,2,7,2,63.1,56.0,622
7906,1.0,4,2,3,62.5,56.0,4649
7907,1.23,4,5,2,62.1,57.0,4819
7908,1.09,4,4,7,62.1,55.0,8778
7909,0.51,4,7,4,61.9,57.0,1787
7910,0.3,4,3,8,61.5,56.0,789
7911,0.7,4,2,3,59.9,59.0,2083
7912,1.01,2,6,3,63.3,57.0,4692
7913,0.4,4,5,7,61.7,56.0,1263
7914,0.57,4,6,3,61.5,56.0,1436
7915,0.31,2,4,5,63.3,57.0,583
7916,0.42,4,5,5,62.3,55.0,1031
7917,1.11,4,1,3,62.1,56.0,4259
7918,0.3,5,4,3,58.8,60.0,574
7919,0.5,1,7,3,65.7,56.0,1323
7920,0.31,5,3,5,61.5,61.0,698
7921,1.11,5,5,5,59.4,58.0,7832
7922,1.01,2,3,3,60.1,61.0,5544
7923,0.52,4,7,4,61.9,55.0,1802
7924,0.5,5,6,4,62.4,62.0,1629
7925,0.7,5,5,2,59.1,58.0,2362
7926,1.0,3,4,4,62.9,56.0,5702
7927,0.24,3,5,5,63.0,59.0,419
7928,0.41,4,7,6,62.3,55.0,1356
7929,0.32,3,3,4,62.8,55.0,505
7930,0.31,5,4,2,61.3,58.0,408
7931,0.61,2,5,5,61.9,60.0,2076
7932,1.27,5,1,3,61.8,58.0,5121
7933,0.41,4,4,7,61.7,55.0,1151
7934,1.23,2,2,5,63.6,59.0,5940
7935,0.53,5,6,3,62.2,56.0,1654
7936,1.02,3,5,3,63.7,56.0,5701
7937,1.64,5,1,5,60.6,59.0,9836
7938,1.22,1,5,2,65.0,56.0,4705
7939,0.3,4,5,5,62.2,56.0,621
7940,0.76,4,7,5,62.0,56.0,4243
7941,0.71,4,6,6,62.0,53.9,4042
7942,0.59,4,7,3,61.8,56.0,1816
7943,1.01,5,5,4,62.5,59.0,7062
7944,1.22,3,3,3,61.2,60.0,6071
7945,1.51,2,2,3,63.9,59.0,9234
7946,1.24,5,6,2,60.8,57.0,4278
7947,0.33,5,2,5,61.1,59.0,521
7948,0.77,5,6,2,62.5,60.0,2171
7949,0.43,5,7,3,61.0,57.0,993
7950,0.41,4,6,6,61.8,57.0,1243
7951,1.13,3,3,2,59.8,59.0,4537
7952,0.3,5,7,4,60.4,59.0,710
7953,2.47,4,1,2,62.1,57.0,15430
7954,2.16,3,3,2,62.3,60.0,14824
7955,0.32,4,7,5,61.4,57.0,1044
7956,1.0,5,4,4,62.3,58.0,5242
7957,0.5,4,6,4,61.4,55.0,1614
7958,0.32,4,4,4,62.0,57.0,561
7959,0.36,5,7,4,61.0,58.0,1094
7960,0.9,2,3,3,58.9,61.0,3734
7961,2.05,2,4,2,63.7,61.0,16148
7962,1.73,5,2,2,62.0,60.0,9207
7963,1.02,5,4,3,60.7,60.0,4855
7964,2.52,1,3,2,65.4,59.0,13846
7965,0.34,4,6,4,62.5,55.0,692
7966,0.34,5,4,4,60.3,59.0,765
7967,0.5,3,5,3,62.3,60.0,1250
7968,2.07,4,3,2,63.5,53.0,18198
7969,1.54,5,4,4,63.0,59.0,11815
7970,1.51,5,5,3,62.2,59.0,11607
7971,1.19,5,1,2,58.4,60.0,4198
7972,0.52,5,4,5,59.1,60.0,1622
7973,0.5,3,6,5,62.5,58.0,1665
7974,0.57,2,5,2,61.9,57.7,1280
7975,0.34,4,7,1,62.5,57.0,413
7976,0.83,4,6,3,62.3,55.0,3837
7977,0.5,5,4,7,62.3,59.0,2070
7978,1.02,2,3,2,60.3,63.0,4517
7979,0.73,4,6,5,61.4,55.0,3471
7980,1.02,4,5,2,61.4,56.0,4578
7981,0.39,4,5,6,61.2,56.0,987
7982,0.51,4,4,8,61.3,56.0,2163
7983,0.31,2,4,7,63.5,57.0,816
7984,1.08,4,4,2,61.9,57.0,4544
7985,1.07,1,4,2,66.8,57.0,3545
7986,1.13,4,5,4,61.8,54.0,7756
7987,0.57,4,7,4,61.4,56.0,2103
7988,0.58,4,5,2,60.9,57.0,1209
7989,0.5,4,4,7,62.1,53.5,1865
7990,0.33,4,4,6,62.6,53.0,901
7991,2.01,5,1,3,62.3,59.0,12048
7992,0.3,5,4,5,61.7,56.0,776
7993,0.32,4,4,3,60.8,56.0,612
7994,0.43,4,6,6,61.7,55.0,1426
7995,0.85,4,1,4,61.7,55.0,2442
7996,0.91,1,6,4,61.8,66.0,4550
7997,0.36,4,7,3,61.3,56.0,636
7998,0.5,4,7,2,62.4,56.0,1239
7999,0.34,5,7,3,60.2,60.0,803
8000,0.82,4,3,3,62.4,56.0,2617
8001,0.52,5,5,1,63.0,56.0,870
8002,0.29,3,3,5,62.2,56.0,444
8003,1.52,3,1,3,62.3,57.0,7239
8004,0.4,4,7,4,61.7,57.0,890
8005,0.9,3,6,5,61.1,59.0,5151
8006,1.04,5,4,3,62.7,59.0,5223
8007,1.06,5,6,2,60.0,59.0,3989
8008,1.21,4,2,5,61.5,58.0,6691
8009,1.04,4,4,4,62.5,57.0,6589
8010,0.31,5,3,6,62.4,59.0,625
8011,0.72,3,6,2,63.5,59.0,2376
8012,0.3,2,2,3,63.2,55.0,405
8013,0.7,1,5,1,64.9,59.0,1134
8014,0.33,4,6,3,61.9,57.0,579
8015,0.71,4,5,3,61.3,56.0,2491
8016,0.57,4,7,3,61.0,57.0,1754
8017,0.63,5,3,7,61.3,61.0,2177
8018,1.51,3,1,4,59.7,59.0,8735
8019,1.06,5,3,3,61.0,60.0,5461
8020,0.47,2,6,5,65.4,56.0,1293
8021,1.13,4,4,4,61.6,57.0,7159
8022,0.52,3,5,6,62.9,57.0,2035
8023,1.01,1,4,2,64.7,58.0,3856
8024,0.7,2,6,5,61.0,61.0,2952
8025,0.4,3,4,3,61.1,61.0,702
8026,1.51,5,5,4,60.4,59.0,14247
8027,0.41,3,3,6,62.0,56.0,873
8028,0.71,2,2,6,63.7,56.0,2283
8029,0.32,5,7,3,61.3,60.0,589
8030,0.3,4,4,6,61.5,56.0,684
8031,0.3,5,6,5,61.4,59.0,814
8032,0.81,5,4,2,62.5,57.0,2515
8033,0.3,4,6,4,62.3,57.0,844
8034,1.02,4,4,4,62.6,57.0,5816
8035,1.14,5,5,3,62.5,59.0,5228
8036,0.81,4,7,3,61.5,57.0,2748
8037,1.0,3,5,3,61.4,60.0,4504
8038,1.61,5,3,3,62.8,58.0,7754
8039,1.06,2,2,5,58.8,62.0,4887
8040,0.35,4,2,8,62.5,55.0,737
8041,1.58,4,2,3,62.6,56.0,9176
8042,1.1,5,5,4,61.1,57.0,7115
8043,0.73,4,5,5,61.2,57.0,3797
8044,0.71,4,5,4,61.8,55.0,3516
8045,1.01,3,7,3,58.1,61.0,5055
8046,0.31,5,3,7,62.6,58.0,907
8047,0.3,3,6,6,62.4,57.0,759
8048,0.78,3,2,5,60.9,55.0,2694
8049,1.52,3,5,5,63.8,56.0,15819
8050,0.36,4,2,4,61.6,55.0,523
8051,0.3,4,4,6,61.8,57.0,665
8052,0.4,3,5,3,59.6,61.0,927
8053,0.74,4,2,4,61.5,57.0,2459
8054,0.42,4,4,4,62.1,56.0,1087
8055,0.4,5,4,7,62.3,58.0,1123
8056,0.5,4,6,4,62.3,57.0,1559
8057,1.62,5,1,3,62.0,60.0,8183
8058,1.02,4,4,2,61.4,56.0,4255
8059,0.63,1,3,2,64.7,61.0,1235
8060,1.03,4,5,6,61.1,57.0,10049
8061,0.51,4,6,4,62.8,56.0,1733
8062,0.9,5,6,5,62.1,59.0,5116
8063,0.36,3,2,5,60.9,61.0,568
8064,1.07,4,7,4,62.5,57.0,8202
8065,0.3,4,6,7,61.6,55.0,838
8066,1.21,2,1,6,63.7,56.0,5028
8067,0.7,2,2,5,64.3,58.0,2271
8068,0.71,3,1,3,62.8,57.0,1841
8069,1.07,4,4,3,61.9,55.0,5444
8070,0.37,4,5,5,61.0,55.0,703
8071,0.5,4,5,3,59.9,57.0,1286
8072,0.32,4,2,5,60.9,56.7,529
8073,1.63,3,3,3,62.5,58.0,10721
8074,0.7,3,2,2,63.4,59.0,1775
8075,0.42,5,4,3,60.6,62.0,882
8076,0.72,5,7,5,62.7,56.0,3601
8077,0.53,3,2,5,59.9,58.0,1350
8078,0.73,5,5,3,61.2,60.0,2599
8079,2.18,4,1,4,60.3,57.0,16427
8080,1.2,2,3,3,63.7,58.0,5779
8081,1.0,3,5,2,62.7,58.0,3789
8082,1.18,4,6,1,61.6,56.0,4229
8083,1.01,4,3,3,62.2,58.0,4773
8084,0.9,5,2,4,60.1,59.0,3663
8085,0.9,2,3,3,64.2,59.0,3290
8086,0.32,4,5,7,60.3,57.0,912
8087,0.83,2,5,2,57.5,61.0,2358
8088,0.28,3,7,7,60.3,62.0,596
8089,1.08,4,6,3,61.5,55.0,7672
8090,0.9,5,5,3,62.5,62.0,3881
8091,0.9,3,1,2,62.3,59.0,2693
8092,2.0,5,2,4,58.5,61.0,14763
8093,2.05,4,5,2,62.2,57.0,12743
8094,0.57,3,4,3,60.4,58.0,1273
8095,0.4,4,5,4,62.0,57.0,1080
8096,2.07,4,1,6,62.7,54.0,16769
8097,0.3,2,7,2,63.4,56.0,447
8098,0.74,5,5,3,62.7,59.0,2553
8099,0.24,3,5,6,62.0,58.0,552
8100,0.7,4,5,5,62.4,56.0,2874
8101,0.57,5,3,3,59.3,58.0,1218
8102,0.4,4,5,3,62.0,54.0,694
8103,0.31,5,4,2,61.8,59.0,523
8104,0.3,2,2,3,64.1,57.0,506
8105,0.24,3,6,7,60.7,60.0,485
8106,0.37,2,5,3,63.7,55.0,575
8107,1.52,3,5,6,63.7,57.0,16786
8108,0.32,4,3,7,62.0,55.0,708
8109,0.55,3,1,4,62.6,57.0,1062
8110,1.46,3,2,3,62.5,57.0,7146
8111,0.34,2,5,3,61.9,56.0,581
8112,0.3,2,4,6,63.1,56.0,684
8113,1.01,3,1,3,63.0,54.0,4194
8114,0.38,3,2,5,60.1,60.0,606
8115,0.42,4,7,5,61.4,56.0,1395
8116,0.71,4,3,3,62.7,55.0,2313
8117,0.4,4,1,5,60.4,56.0,641
8118,1.08,4,5,3,62.7,57.0,5327
8119,0.38,5,4,5,61.9,58.0,833
8120,2.11,5,4,2,59.1,59.0,15757
8121,0.7,4,5,3,62.1,55.0,2409
8122,0.53,5,7,3,61.6,59.0,1753
8123,0.26,3,5,5,59.5,58.0,453
8124,0.55,4,2,3,61.7,55.0,1134
8125,1.01,3,4,3,62.6,59.0,4916
8126,0.3,5,6,4,62.2,60.0,844
8127,0.32,3,5,7,62.2,55.0,886
8128,0.91,2,6,3,60.2,60.0,4523
8129,0.3,3,5,6,59.9,56.0,730
8130,0.71,5,5,5,60.5,58.0,2839
8131,2.01,4,2,2,62.1,55.0,12349
8132,0.81,4,6,5,61.6,55.0,4764
8133,1.06,3,2,3,62.8,56.0,4255
8134,0.47,3,5,3,61.1,61.0,1021
8135,0.7,5,5,3,58.6,59.0,2657
8136,0.9,3,7,3,62.7,56.0,4381
8137,1.7,4,4,4,62.9,55.0,15756
8138,0.79,5,5,4,60.7,60.0,3089
8139,1.24,4,7,3,61.9,56.0,6805
8140,0.39,4,7,6,61.8,57.0,1232
8141,0.41,4,1,4,61.7,55.0,613
8142,1.57,5,1,4,59.9,57.0,6629
8143,0.66,3,5,3,59.2,58.0,1918
8144,0.9,5,2,5,61.2,61.0,3484
8145,0.58,5,5,3,61.0,57.0,1634
8146,0.7,3,5,4,62.7,57.0,2437
8147,0.42,5,4,5,60.6,58.0,984
8148,0.3,4,3,5,61.3,56.0,675
8149,0.55,3,4,8,60.2,60.0,2314
8150,0.7,4,4,5,62.6,56.0,2670
8151,1.52,3,6,5,62.4,55.0,16485
8152,0.36,5,7,4,61.0,59.0,1094
8153,0.9,2,6,5,64.8,54.0,4353
8154,0.36,4,7,3,62.0,54.0,626
8155,0.3,4,7,4,62.5,54.0,710
8156,1.1,2,2,3,63.1,61.0,4133
8157,0.46,3,4,4,61.3,56.0,1172
8158,0.31,5,3,7,63.0,58.0,907
8159,0.51,3,7,3,62.3,57.0,1569
8160,1.52,4,1,5,62.3,58.0,8608
8161,1.02,1,3,5,71.8,56.0,4455
8162,0.38,3,7,6,59.1,59.9,1225
8163,0.33,5,4,6,62.8,57.0,965
8164,0.91,4,7,4,60.9,57.0,6444
8165,0.3,4,6,4,62.4,57.0,844
8166,1.51,5,6,3,63.0,58.0,8836
8167,0.58,4,7,2,61.2,57.0,1436
8168,0.38,3,6,4,59.2,60.0,866
8169,0.67,2,5,6,63.8,61.0,2398
8170,0.51,5,4,2,63.0,61.0,1056
8171,0.52,5,4,6,61.1,59.0,1911
8172,1.58,5,6,4,60.1,60.0,14453
8173,0.31,4,5,4,61.6,55.0,625
8174,0.71,3,2,3,62.6,59.0,2218
8175,0.7,2,3,2,64.2,58.0,1697
8176,3.11,1,1,1,65.9,57.0,9823
8177,1.08,3,5,4,63.1,57.0,6319
8178,1.5,2,3,5,64.3,57.0,8736
8179,2.05,5,7,2,60.0,58.0,12891
8180,1.0,5,6,2,61.2,60.0,4620
8181,1.2,3,2,7,62.6,56.0,7080
8182,0.42,4,7,4,62.2,55.0,1031
8183,0.72,4,5,5,61.7,57.0,2804
8184,0.3,2,4,6,63.5,56.0,684
8185,1.06,4,6,4,61.3,57.0,9092
8186,0.6,1,4,3,64.5,56.0,1305
8187,1.59,4,3,3,61.5,57.0,10832
8188,2.13,5,1,2,62.6,58.0,13148
8189,0.7,5,6,4,62.6,56.0,2822
8190,0.41,5,4,7,61.0,61.0,1230
8191,0.41,4,6,2,61.5,58.0,654
8192,0.73,4,5,7,61.9,56.0,3342
8193,0.37,5,5,4,61.9,58.0,746
8194,0.32,4,3,7,62.2,56.0,730
8195,1.01,2,4,2,63.5,58.0,4079
8196,0.38,4,6,8,61.4,55.0,1300
8197,0.37,4,4,6,62.0,56.0,909
8198,0.57,4,6,5,61.6,56.9,2030
8199,0.3,4,4,5,61.1,56.0,524
8200,0.3,5,2,5,59.1,59.0,608
8201,0.53,4,7,7,61.6,55.0,3097
8202,0.72,4,2,4,60.3,57.0,3391
8203,0.38,4,6,3,61.1,55.0,844
8204,1.04,2,7,3,63.7,58.0,5708
8205,1.11,2,6,2,58.3,60.0,4532
8206,0.32,3,2,3,62.8,58.0,432
8207,0.32,4,6,7,61.7,56.0,954
8208,0.31,4,5,7,61.6,56.0,903
8209,1.02,5,7,3,60.6,59.0,5998
8210,1.21,5,6,6,61.9,58.0,11395
8211,0.32,4,7,2,61.7,55.0,477
8212,1.53,3,3,3,61.1,57.0,10468
8213,0.36,2,5,5,63.9,54.0,905
8214,1.23,4,4,6,60.8,57.0,10646
8215,0.3,3,5,4,62.9,57.0,605
8216,0.54,4,5,4,60.5,56.0,1680
8217,0.5,5,4,5,60.7,62.0,1629
8218,0.56,4,5,6,61.1,56.0,2522
8219,0.31,4,6,2,61.3,55.0,558
8220,0.41,4,3,3,62.2,55.0,1056
8221,0.61,3,7,4,61.5,57.0,2266
8222,0.31,2,5,3,64.1,61.0,618
8223,1.56,3,1,3,59.6,58.0,7424
8224,0.54,4,4,6,61.0,56.0,1985
8225,1.0,5,4,3,60.5,61.0,5152
8226,1.2,2,4,2,63.6,54.0,5141
8227,0.7,3,5,4,62.1,58.0,2400
8228,0.34,5,5,4,59.2,60.0,880
8229,0.41,4,4,5,59.8,57.0,961
8230,0.41,3,5,7,63.7,54.0,1169
8231,1.21,3,5,4,62.9,54.0,8403
8232,1.52,1,7,3,64.6,64.0,9704
8233,0.56,4,7,3,61.2,56.0,1814
8234,1.08,3,7,5,60.5,58.0,8513
8235,0.72,5,5,3,60.1,59.0,2492
8236,0.74,4,5,4,62.1,56.0,3171
8237,0.39,4,6,5,62.2,55.0,948
8238,0.31,3,4,3,62.8,55.0,462
8239,1.31,3,2,2,60.8,57.0,5582
8240,0.57,3,4,3,61.1,57.0,1433
8241,0.71,2,2,4,61.1,60.6,2145
8242,0.5,4,5,6,61.6,56.0,2052
8243,0.38,4,7,5,61.3,56.0,919
8244,0.32,4,3,7,61.4,55.0,698
8245,0.43,4,2,7,61.1,57.0,916
8246,0.95,3,4,5,61.7,58.0,5111
8247,1.02,5,7,1,61.4,60.0,3838
8248,0.42,4,4,2,61.5,56.0,682
8249,0.39,5,7,6,61.1,60.0,1290
8250,1.01,5,3,3,62.3,58.0,4513
8251,0.24,3,5,6,61.9,56.0,538
8252,0.32,4,3,7,61.9,54.0,708
8253,0.3,2,1,5,63.4,55.0,394
8254,1.5,5,2,2,59.5,62.0,7140
8255,0.7,3,3,3,61.1,56.0,2548
8256,0.72,3,3,3,61.5,56.0,2277
8257,0.5,4,6,2,61.8,58.0,1104
8258,1.01,3,7,3,63.2,58.0,5654
8259,0.33,3,4,2,60.0,56.0,460
8260,1.56,5,1,5,61.3,59.0,7144
8261,0.53,4,7,4,62.3,56.0,1956
8262,1.13,4,2,3,61.4,57.0,4936
8263,0.7,2,5,2,64.1,59.0,2390
8264,1.0,3,4,2,60.0,62.0,4195
8265,0.92,5,3,4,61.3,58.0,4077
8266,0.71,3,6,4,62.4,57.0,2759
8267,0.51,5,5,4,61.0,58.0,1687
8268,0.81,3,4,5,62.6,55.0,3544
8269,1.04,4,3,3,60.3,57.0,4629
8270,0.75,3,6,3,63.0,55.0,2753
8271,0.52,4,7,3,62.4,57.0,1720
8272,0.48,2,4,5,58.2,59.2,1228
8273,0.32,4,4,8,61.0,57.0,918
8274,1.02,4,7,3,62.8,56.0,6158
8275,0.56,5,5,3,60.8,58.0,1436
8276,0.98,4,2,2,62.6,54.0,3873
8277,1.12,2,1,3,63.7,61.0,3951
8278,1.07,4,4,3,61.9,55.0,5347
8279,0.52,4,6,4,61.1,57.0,1689
8280,0.32,4,4,8,61.7,54.0,918
8281,0.3,5,7,4,62.0,59.0,911
8282,0.56,3,3,2,59.5,57.0,1144
8283,2.55,5,2,5,61.8,62.0,18766
8284,0.46,4,6,4,62.1,57.0,1251
8285,1.01,4,4,3,61.8,57.0,4588
8286,0.51,4,4,4,61.8,55.0,1557
8287,0.3,3,6,4,62.4,57.0,658
8288,2.0,2,1,1,63.6,62.0,6521
8289,0.33,3,5,6,61.1,56.0,739
8290,1.53,3,3,4,62.2,58.0,11178
8291,2.37,4,1,4,62.2,57.0,16059
8292,0.31,3,5,5,60.9,56.0,675
8293,1.64,2,2,3,57.9,61.0,10102
8294,0.62,4,4,6,62.6,57.0,2507
8295,0.3,4,6,6,60.9,57.0,786
8296,1.0,5,4,4,62.2,58.0,6048
8297,0.34,2,3,3,63.7,57.0,628
8298,0.32,5,4,4,60.7,58.0,561
8299,1.0,1,4,4,64.5,58.0,5161
8300,1.2,3,1,3,61.4,59.0,4752
8301,0.33,4,7,4,61.1,56.0,822
8302,1.51,5,1,4,59.6,60.0,7553
8303,0.75,4,4,3,62.2,57.0,2456
8304,0.24,5,6,4,62.6,58.0,536
8305,0.63,4,5,5,62.3,56.0,2644
8306,0.56,5,3,4,62.2,60.0,1432
8307,0.51,4,5,8,62.4,55.0,2524
8308,0.41,5,7,4,62.4,60.0,1007
8309,0.71,4,5,4,62.1,54.0,2780
8310,1.25,3,6,4,61.6,57.0,8851
8311,0.77,5,4,2,61.9,59.0,2391
8312,1.0,1,4,3,68.3,61.0,3965
8313,0.26,4,4,6,62.7,53.0,514
8314,0.55,4,4,4,61.6,55.0,1752
8315,0.39,3,1,5,63.5,58.0,790
8316,1.15,5,3,2,61.6,60.0,4743
8317,1.06,3,4,8,61.2,57.0,8415
8318,0.33,5,4,5,61.6,60.0,666
8319,1.09,5,4,4,61.0,59.0,6906
8320,0.52,3,5,4,60.0,61.5,1680
8321,1.16,2,1,6,61.6,57.0,5831
8322,0.51,3,4,4,63.4,55.0,1443
8323,0.42,2,5,3,63.6,57.0,926
8324,0.33,4,3,3,61.7,55.0,564
8325,0.71,4,3,3,60.8,57.0,2006
8326,1.01,5,4,3,61.2,61.0,4672
8327,0.41,5,6,4,61.3,58.0,935
8328,0.53,4,4,6,61.4,57.0,2250
8329,2.1,4,2,3,61.7,55.0,13182
8330,2.44,3,1,3,62.9,53.0,17472
8331,0.3,4,4,8,62.4,55.0,1025
8332,1.16,3,4,3,60.5,60.0,5372
8333,1.01,2,6,4,63.3,58.0,6399
8334,1.01,2,6,4,63.7,56.0,6335
8335,1.05,2,7,2,60.0,63.0,4560
8336,0.3,4,4,6,62.5,53.8,687
8337,0.35,3,4,5,62.9,58.0,706
8338,0.3,4,5,8,62.0,56.0,886
8339,1.51,3,3,6,63.1,56.0,9332
8340,0.25,4,5,5,62.1,57.0,595
8341,2.0,2,4,3,64.2,59.0,17902
8342,0.44,4,2,7,61.2,55.0,1107
8343,0.52,4,4,6,62.4,55.0,1911
8344,0.26,3,5,7,63.3,57.0,724
8345,0.32,4,3,7,62.2,56.0,936
8346,0.34,3,6,4,62.6,58.0,745
8347,0.43,5,6,3,61.5,60.0,739
8348,0.72,2,6,2,57.9,56.0,2308
8349,0.7,5,7,3,58.8,59.0,2357
8350,0.32,3,3,6,61.0,58.0,645
8351,0.52,4,6,4,62.6,57.0,1815
8352,2.05,3,3,2,63.1,58.0,12401
8353,1.01,3,3,3,62.5,58.0,4052
8354,0.52,4,5,3,61.6,57.0,1250
8355,0.4,5,6,2,61.4,59.0,855
8356,1.2,3,4,2,61.5,58.0,4443
8357,0.74,3,5,2,63.1,58.0,1909
8358,1.21,2,4,4,64.1,58.0,7047
8359,2.13,5,1,4,59.6,59.0,15110
8360,1.75,3,4,4,62.6,58.0,16632
8361,0.5,3,6,3,63.0,58.0,1316
8362,1.21,3,1,4,62.4,58.0,4191
8363,0.5,3,4,6,61.3,57.0,1729
8364,0.71,5,3,3,61.0,58.0,2006
8365,0.51,5,6,5,61.9,58.0,1928
8366,0.97,3,4,3,61.0,59.0,4504
8367,1.12,3,4,8,60.9,57.0,8962
8368,0.59,4,6,4,61.5,56.0,1789
8369,0.56,5,7,3,61.9,58.0,1723
8370,1.2,3,5,2,63.2,58.0,4502
8371,0.7,5,5,4,62.0,56.0,2573
8372,1.03,4,4,3,61.1,57.0,5147
8373,1.16,5,3,3,61.9,59.0,5091
8374,0.34,3,2,3,61.3,61.0,447
8375,1.03,3,4,5,60.6,58.0,6487
8376,1.51,2,5,3,60.9,61.0,11560
8377,0.4,4,2,6,62.0,56.0,1240
8378,1.7,2,1,4,63.6,59.0,8282
8379,1.0,5,5,2,61.6,61.0,4452
8380,0.7,3,3,3,62.4,59.0,2066
8381,0.78,3,5,4,62.2,58.0,3429
8382,1.01,5,5,2,60.9,60.0,3297
8383,1.51,2,1,4,59.5,61.0,7476
8384,1.16,5,5,2,61.2,61.0,4820
8385,1.12,3,6,2,60.9,63.0,3794
8386,0.4,5,4,6,61.1,58.0,1050
8387,0.23,3,6,7,62.2,57.0,583
8388,0.45,2,4,7,64.0,57.0,1254
8389,0.53,4,6,6,62.5,57.0,2250
8390,0.52,4,3,4,61.6,55.0,1374
8391,1.01,3,2,3,61.4,62.0,4693
8392,0.44,3,2,5,61.9,57.0,813
8393,0.41,3,2,6,61.3,60.0,811
8394,0.35,5,2,5,61.8,58.0,709
8395,0.31,4,4,8,62.1,56.0,871
8396,0.3,3,7,4,62.6,61.0,710
8397,0.4,3,4,2,61.9,61.0,596
8398,0.74,3,4,5,59.8,58.0,2896
8399,0.9,4,1,5,62.5,55.0,3175
8400,0.41,2,6,3,63.5,57.0,755
8401,0.94,4,4,7,62.4,58.0,6488
8402,0.52,4,7,6,62.4,56.0,2362
8403,0.7,3,2,3,62.2,58.0,2136
8404,0.96,5,2,2,61.3,60.0,2669
8405,1.52,5,5,4,59.4,60.0,13530
8406,0.56,4,5,3,61.5,55.0,1334
8407,0.59,5,6,4,59.1,61.0,1641
8408,0.44,5,5,5,61.9,59.0,1155
8409,0.3,4,4,6,61.5,57.0,684
8410,0.42,5,4,5,60.9,58.0,921
8411,1.5,2,5,2,64.1,55.0,7291
8412,2.28,4,4,2,61.6,57.0,13907
8413,1.54,5,1,7,62.4,59.0,9383
8414,0.58,4,4,4,60.6,55.0,1719
8415,0.32,4,4,6,62.2,56.0,730
8416,0.54,4,2,5,62.3,57.0,1452
8417,1.78,3,5,3,60.6,57.0,13659
8418,1.01,2,4,5,63.7,57.0,6618
8419,1.06,5,3,5,62.5,58.0,5549
8420,0.3,4,6,5,62.2,53.8,703
8421,2.32,4,2,2,62.0,57.0,17676
8422,1.02,3,7,8,62.7,57.0,15306
8423,0.61,4,6,6,60.8,56.0,3056
8424,1.02,4,7,3,61.2,56.0,6040
8425,1.05,3,4,2,63.2,54.0,4318
8426,1.51,4,4,5,61.6,56.0,14542
8427,0.31,4,5,8,61.3,57.0,914
8428,0.4,4,6,5,61.2,57.0,1053
8429,0.26,3,3,6,63.4,55.0,565
8430,1.3,4,2,3,62.3,58.0,6451
8431,0.36,4,5,4,60.5,57.0,786
8432,0.91,3,5,3,60.1,58.0,3879
8433,0.3,5,6,3,59.8,60.0,526
8434,0.52,5,5,4,62.2,58.0,1720
8435,0.71,3,3,3,63.5,57.0,2207
8436,0.91,4,4,2,60.8,57.0,3844
8437,0.53,4,7,2,61.7,55.0,1243
8438,0.32,4,1,7,60.8,56.0,494
8439,1.2,5,4,5,63.0,61.0,8938
8440,1.83,5,6,2,62.0,57.0,12492
8441,0.76,5,5,2,59.3,59.0,2287
8442,0.57,4,5,6,61.5,57.0,2360
8443,0.3,3,7,3,62.3,59.0,552
