,cut,color,clarity,depth,table
2719,2,4,3,64.3,60.0
2720,2,4,5,58.7,62.0
2721,4,5,3,62.0,53.0
2722,4,5,8,61.7,55.0
2723,5,5,3,62.2,58.0
2724,4,6,7,61.9,55.0
2725,3,5,3,61.7,60.0
2726,3,2,3,63.5,59.0
2727,4,4,2,61.9,57.0
2728,4,4,2,61.7,57.0
2729,5,3,1,59.1,61.0
2730,4,3,5,62.0,57.0
2731,3,2,3,62.0,58.0
2732,4,4,4,62.1,57.0
2733,4,3,4,61.1,56.0
2734,4,6,4,62.6,56.0
2735,3,4,4,61.7,56.0
2736,3,3,2,59.9,57.0
2737,5,4,2,61.8,58.0
2738,4,2,3,61.6,54.0
2739,5,2,3,61.3,58.0
2740,5,4,3,62.7,59.0
2741,3,7,3,63.5,58.0
2742,3,4,2,62.1,61.0
2743,4,3,4,62.1,54.0
2744,4,4,4,61.7,55.0
2745,5,4,4,61.1,58.0
2746,2,1,4,63.5,64.0
2747,5,6,4,62.7,58.0
2748,4,4,5,61.8,55.0
2749,5,6,3,60.6,54.0
2750,4,6,7,61.8,56.0
2751,5,5,5,60.7,58.0
2752,4,3,7,61.5,56.0
2753,3,3,7,61.2,56.0
2754,5,3,1,61.3,60.0
2755,4,4,5,61.5,56.0
2756,4,4,4,62.1,57.0
2757,3,5,4,63.3,57.0
2758,5,5,4,61.8,60.0
2759,4,5,8,60.2,57.0
2760,4,1,3,60.2,57.0
2761,4,3,3,62.1,54.0
2762,4,3,6,62.3,53.3
2763,3,5,6,59.6,56.0
2764,3,4,4,63.6,56.0
2765,4,7,2,62.4,57.0
2766,3,6,6,60.0,61.0
2767,4,5,7,61.0,57.0
2768,3,4,2,62.7,57.0
2769,5,5,4,60.5,58.0
2770,5,4,4,63.0,57.0
2771,2,4,2,63.8,58.0
2772,5,3,5,60.3,58.0
2773,3,4,5,63.1,56.0
2774,4,5,8,62.3,57.0
2775,4,3,2,62.0,57.0
2776,4,3,7,60.3,56.0
2777,3,3,3,62.1,62.0
2778,4,7,2,62.4,56.0
2779,2,1,4,62.8,59.0
2780,4,7,3,62.5,56.0
2781,2,5,2,64.2,62.0
2782,2,5,2,62.7,57.0
2783,3,5,2,61.6,54.0
2784,4,4,3,62.6,56.0
2785,4,7,5,61.7,56.0
2786,4,7,2,61.9,55.0
2787,2,6,3,63.7,60.0
2788,4,4,5,62.8,55.0
2789,4,5,2,61.9,57.0
2790,4,4,6,61.9,57.0
2791,3,4,5,62.9,55.0
2792,3,5,6,62.7,56.0
2793,4,6,3,61.5,56.0
2794,4,2,7,60.2,57.0
2795,4,7,2,61.8,58.0
2796,2,4,3,63.3,56.0
2797,4,6,3,61.0,56.0
2798,3,7,3,59.2,62.0
2799,3,5,4,61.6,58.0
2800,5,6,2,62.5,57.0
2801,3,1,2,62.8,57.0
2802,4,4,6,62.4,56.0
2803,3,5,3,61.7,59.0
2804,5,6,2,59.9,58.0
2805,5,4,4,62.3,60.0
2806,4,4,2,60.7,57.0
2807,3,5,3,63.2,59.0
2808,5,2,2,60.0,58.0
2809,4,7,2,62.1,57.0
2810,4,5,3,61.1,56.0
2811,5,5,4,59.7,58.0
2812,3,4,5,60.2,55.0
2813,4,3,2,60.4,58.0
2814,3,6,4,61.0,55.0
2815,4,3,3,62.4,55.0
2816,3,4,3,62.0,55.0
2817,3,2,2,59.5,61.0
2818,4,6,3,60.9,56.0
2819,5,2,4,60.1,59.0
2820,4,1,5,61.3,57.0
2821,4,4,5,62.0,55.0
2822,3,5,3,60.3,60.0
2823,3,6,5,61.7,60.0
2824,5,1,2,62.7,59.0
2825,4,4,5,62.6,55.0
2826,4,3,3,59.9,56.0
2827,5,5,2,62.9,56.0
2828,2,1,4,62.3,64.0
2829,5,2,5,61.4,59.0
2830,4,7,4,62.3,55.0
2831,4,6,6,60.3,57.0
2832,2,7,3,57.7,57.0
2833,4,1,4,60.9,58.0
2834,5,3,2,62.8,60.0
2835,3,7,7,62.8,56.0
2836,3,4,5,60.2,63.0
2837,4,7,5,61.1,56.0
2838,4,2,2,61.9,55.0
2839,5,5,6,61.1,59.0
2840,4,5,6,62.4,55.6
2841,4,3,7,61.5,57.0
2842,4,3,6,61.2,56.0
2843,4,5,7,62.0,54.7
2844,4,5,5,61.1,57.0
2845,3,7,2,62.5,58.0
2846,4,5,4,60.9,56.0
2847,5,7,2,62.0,58.0
2848,4,4,5,62.1,55.0
2849,4,7,6,61.7,56.0
2850,2,3,2,63.2,55.0
2851,5,7,3,60.0,58.0
2852,1,7,3,65.0,55.0
2853,3,4,4,63.2,56.0
2854,5,3,5,62.3,58.0
2855,2,3,4,59.4,64.0
2856,2,6,3,63.7,57.0
2857,2,4,8,63.1,58.0
2858,3,6,5,61.9,58.0
2859,4,6,2,62.4,55.0
2860,5,4,6,62.2,60.0
2861,3,2,3,62.3,56.0
2862,3,6,2,63.1,59.0
2863,5,3,2,59.5,60.0
2864,4,4,4,62.6,58.0
2865,2,4,4,60.3,60.7
2866,3,3,3,63.1,56.0
2867,5,3,5,62.3,58.0
2868,4,4,5,62.4,57.0
2869,5,2,4,62.6,58.0
2870,4,4,5,61.5,57.0
2871,5,3,5,62.9,58.0
2872,3,6,4,62.9,59.0
2873,4,7,4,61.4,57.0
2874,4,6,6,60.8,55.0
2875,3,3,5,61.0,57.0
2876,3,4,4,62.1,57.0
2877,3,1,4,62.2,60.0
2878,3,6,6,61.6,60.0
2879,5,4,4,60.5,60.0
2880,2,6,4,62.3,63.0
2881,4,4,4,60.8,57.0
2882,2,4,4,63.8,59.0
2883,3,4,4,62.9,58.6
2884,4,2,2,61.8,55.0
2885,3,1,4,60.8,56.0
2886,4,2,2,61.7,55.0
2887,3,7,5,61.9,58.0
2888,4,4,2,61.4,57.0
2889,5,5,4,61.6,58.0
2890,2,2,5,63.9,56.0
2891,4,4,4,62.2,56.0
2892,1,5,4,56.3,61.0
2893,4,4,4,61.6,56.0
2894,2,3,7,63.5,60.0
2895,3,5,8,61.4,56.0
2896,4,6,3,61.5,56.0
2897,4,5,4,61.9,54.0
2898,3,4,4,62.0,56.0
2899,5,6,4,58.2,60.0
2900,1,1,3,58.0,67.0
2901,3,3,6,60.3,59.0
2902,4,6,6,61.9,57.0
2903,5,6,2,61.5,58.0
2904,5,7,2,62.4,59.0
2905,1,5,2,64.5,57.0
2906,5,4,4,60.7,61.0
2907,3,5,3,59.4,56.0
2908,5,6,4,60.4,58.0
2909,4,6,2,61.9,55.0
2910,5,6,3,62.4,56.0
2911,5,7,2,61.6,58.0
2912,3,5,3,63.1,58.0
2913,4,4,4,60.2,59.0
2914,5,6,6,62.4,58.0
2915,3,3,2,63.4,55.0
2916,3,4,7,60.8,58.0
2917,4,2,5,61.9,56.0
2918,4,4,4,61.3,57.0
2919,3,3,3,59.6,62.0
2920,1,5,5,67.0,52.0
2921,2,4,4,63.1,57.0
2922,4,7,5,61.0,56.0
2923,4,4,8,59.8,54.0
2924,3,6,5,62.1,55.0
2925,3,7,2,60.1,61.0
2926,5,1,2,60.4,59.0
2927,3,5,2,59.9,62.0
2928,4,4,6,62.4,57.0
2929,3,5,3,63.4,58.0
2930,2,6,3,63.9,58.0
2931,5,4,5,62.2,55.0
2932,3,5,7,62.5,57.0
2933,4,4,6,61.8,56.0
2934,4,6,3,61.5,55.0
2935,4,3,6,62.6,55.0
2936,3,2,4,61.8,58.0
2937,3,7,6,60.0,56.0
2938,3,3,4,62.8,59.0
2939,4,6,3,62.8,56.0
2940,4,2,7,62.1,56.0
2941,3,3,4,59.4,59.0
2942,4,4,7,62.2,57.0
2943,4,5,3,62.0,56.0
2944,2,5,4,61.7,58.0
2945,4,2,5,61.5,53.9
2946,5,3,4,62.1,58.5
2947,2,5,1,64.3,59.0
2948,4,6,3,61.4,56.0
2949,5,3,3,61.4,56.0
2950,4,7,7,61.5,55.0
2951,3,7,4,62.2,60.0
2952,1,4,2,64.9,59.0
2953,4,5,6,62.5,56.0
2954,2,3,2,59.2,58.0
2955,5,4,5,59.2,61.0
2956,5,6,4,61.0,59.0
2957,3,6,3,63.2,56.0
2958,5,2,4,59.2,60.0
2959,1,4,1,64.6,58.0
2960,4,6,5,61.7,55.0
2961,4,6,7,62.5,56.0
2962,4,3,2,61.6,56.0
2963,3,3,3,61.5,58.0
2964,5,7,4,61.1,58.0
2965,4,1,4,61.6,54.0
2966,3,5,3,59.6,58.0
2967,5,5,5,61.1,59.0
2968,4,2,2,62.8,57.0
2969,3,5,6,60.9,59.0
2970,5,3,4,59.9,60.0
2971,4,4,4,62.0,56.0
2972,4,3,2,61.1,59.0
2973,3,7,2,58.6,58.0
2974,3,2,5,60.8,59.0
2975,4,5,4,61.4,55.0
2976,3,5,2,62.5,60.0
2977,4,7,3,61.7,55.0
2978,2,1,5,63.2,57.0
2979,2,2,5,57.9,63.0
2980,4,5,8,61.2,57.0
2981,4,2,5,60.9,53.0
2982,3,4,4,61.3,57.0
2983,2,3,5,63.2,59.0
2984,3,5,3,60.6,60.0
2985,4,5,4,62.6,55.0
2986,4,3,6,61.1,56.0
2987,4,5,4,62.3,55.0
2988,4,6,4,62.2,57.0
2989,4,4,3,62.1,54.0
2990,5,5,6,62.2,59.0
2991,4,6,3,62.4,57.0
2992,4,3,4,61.4,56.0
2993,4,6,4,62.2,55.0
2994,3,2,4,63.3,55.0
2995,5,6,4,61.3,59.0
2996,4,3,6,61.7,56.0
2997,2,3,4,63.8,55.0
2998,4,1,3,61.7,54.0
2999,5,6,5,59.5,59.0
3000,1,3,3,66.0,56.0
3001,5,4,3,62.3,60.0
3002,5,4,4,61.7,58.0
3003,4,6,3,60.9,55.0
3004,2,1,3,63.6,60.0
3005,4,6,7,62.0,57.0
3006,5,6,6,60.8,59.0
3007,4,6,2,61.0,57.0
3008,5,3,4,61.1,59.0
3009,2,6,3,63.4,55.0
3010,5,2,3,61.6,58.0
3011,4,5,6,61.7,55.0
3012,5,1,2,61.8,56.0
3013,3,4,3,63.3,58.0
3014,5,2,3,58.8,60.0
3015,3,7,5,60.2,59.0
3016,2,5,4,63.6,59.0
3017,5,5,3,61.3,60.0
3018,4,6,5,62.7,55.0
3019,3,2,4,62.5,58.0
3020,4,6,5,60.1,55.0
3021,4,3,3,61.6,56.0
3022,3,2,8,63.3,57.0
3023,2,2,4,57.9,62.0
3024,5,6,3,62.5,55.0
3025,4,7,4,61.1,56.0
3026,3,2,6,62.2,57.0
3027,3,5,3,63.4,57.0
3028,3,6,3,61.6,58.0
3029,4,4,5,61.8,56.0
3030,4,2,3,62.3,57.0
3031,1,6,2,68.4,64.0
3032,3,3,3,63.2,54.0
3033,3,4,7,61.9,55.0
3034,5,5,3,61.4,61.0
3035,4,6,3,62.3,56.0
3036,3,6,5,61.5,57.0
3037,4,5,4,62.1,56.0
3038,4,3,8,61.8,54.0
3039,3,6,3,60.2,57.0
3040,5,3,4,62.2,59.0
3041,4,5,5,60.7,56.0
3042,2,4,2,63.3,57.0
3043,1,1,5,64.6,58.0
3044,4,4,4,61.9,55.0
3045,3,4,5,62.4,58.0
3046,3,2,3,63.2,55.0
3047,5,7,3,62.3,58.0
3048,4,6,4,62.1,56.0
3049,4,6,5,61.6,57.0
3050,4,5,6,62.3,56.0
3051,4,3,4,61.0,57.0
3052,4,6,4,61.4,58.0
3053,2,1,2,63.2,57.0
3054,5,3,4,61.7,59.0
3055,5,6,2,59.0,62.0
3056,5,4,5,62.3,58.0
3057,1,6,2,65.3,56.0
3058,4,2,6,61.7,56.0
3059,2,3,3,58.0,58.0
3060,4,2,5,62.3,57.0
3061,4,5,2,61.7,56.0
3062,4,6,2,61.6,54.0
3063,5,3,6,62.1,58.0
3064,4,4,7,61.8,56.0
3065,5,2,3,59.7,59.0
3066,3,6,3,63.5,57.0
3067,3,5,4,63.2,59.0
3068,3,7,3,62.5,57.0
3069,3,4,3,62.5,55.0
3070,3,5,7,59.6,58.0
3071,5,6,4,60.9,58.0
3072,4,3,7,61.4,55.0
3073,4,4,3,61.2,56.0
3074,5,3,5,62.3,59.0
3075,3,7,3,62.5,59.0
3076,4,1,3,62.2,57.0
3077,3,5,4,59.5,58.0
3078,2,6,4,58.4,60.3
3079,4,5,4,62.2,55.0
3080,4,6,6,61.6,56.0
3081,3,4,3,63.1,59.0
3082,4,5,6,62.5,56.0
3083,5,1,3,62.9,59.0
3084,2,7,5,64.6,58.0
3085,4,3,3,61.9,55.0
3086,4,7,4,61.6,57.0
3087,3,7,5,60.8,60.0
3088,4,3,3,61.2,56.0
3089,4,4,3,62.4,56.0
3090,5,3,3,62.8,59.0
3091,3,5,2,62.7,55.0
3092,4,4,3,62.8,56.0
3093,5,7,3,61.4,58.0
3094,3,5,3,60.7,58.0
3095,3,3,2,56.8,61.0
3096,4,3,3,61.8,55.0
3097,4,3,7,62.4,54.0
3098,4,4,7,60.5,57.0
3099,4,7,3,62.7,57.0
3100,3,3,3,63.2,57.0
3101,4,3,8,62.1,55.0
3102,5,4,2,59.1,59.0
3103,4,3,3,61.6,56.0
3104,2,6,2,63.7,54.0
3105,5,4,2,60.5,60.0
3106,5,3,2,62.1,58.0
3107,5,6,6,61.4,59.0
3108,5,7,4,62.2,58.0
3109,4,5,7,62.0,54.0
3110,3,6,2,61.6,61.0
3111,4,4,8,61.3,56.0
3112,3,4,5,63.6,56.0
3113,4,5,4,62.4,55.0
3114,3,4,8,61.7,54.0
3115,5,4,5,59.5,59.0
3116,5,1,2,62.6,60.0
3117,5,7,3,59.9,60.0
3118,3,5,5,61.4,61.0
3119,5,3,4,62.8,56.0
3120,2,4,4,63.8,59.0
3121,3,6,2,61.2,58.0
3122,2,6,4,62.6,60.0
3123,4,3,4,62.4,59.0
3124,2,5,2,63.7,60.0
3125,3,3,3,61.0,57.0
3126,5,3,6,61.6,55.0
3127,3,3,3,63.3,57.0
3128,4,6,3,62.3,57.0
3129,4,4,7,61.8,54.0
3130,1,6,4,60.5,59.0
3131,2,4,3,63.3,59.0
3132,5,6,2,60.5,62.0
3133,3,2,3,63.5,56.0
3134,5,7,1,61.9,58.0
3135,4,5,8,61.3,58.0
3136,2,2,3,65.2,56.0
3137,4,4,6,61.9,57.0
3138,4,4,5,61.9,55.0
3139,4,6,2,61.9,55.0
3140,4,4,3,61.8,55.0
3141,4,5,4,62.5,56.0
3142,3,6,5,63.8,57.0
3143,3,4,3,63.1,57.0
3144,1,5,2,64.4,56.0
3145,4,4,5,61.3,57.0
3146,5,6,2,58.2,58.0
3147,3,7,4,58.8,61.0
3148,4,4,7,62.4,55.0
3149,5,4,5,61.8,59.0
3150,4,3,4,61.0,57.0
3151,4,3,3,61.1,57.0
3152,5,3,4,61.0,58.0
3153,5,5,3,60.9,61.0
3154,4,7,4,62.3,57.0
3155,3,4,3,59.3,63.0
3156,5,5,4,62.2,58.0
3157,4,6,2,61.2,57.0
3158,4,7,2,64.5,56.0
3159,5,6,3,59.9,54.0
3160,2,3,4,64.1,58.0
3161,4,3,3,60.4,56.0
3162,4,3,3,62.7,57.0
3163,5,4,2,58.7,60.0
3164,3,4,6,62.2,61.0
3165,4,7,4,61.9,58.0
3166,2,4,2,63.6,62.0
3167,5,3,3,62.2,57.0
3168,5,2,3,61.8,59.0
3169,5,2,3,61.2,60.0
3170,2,4,7,63.6,56.0
3171,3,4,5,62.4,60.0
3172,2,5,3,64.0,59.0
3173,2,4,5,60.3,60.7
3174,2,4,4,63.3,58.0
3175,4,5,3,62.4,54.0
3176,4,3,7,62.7,54.0
3177,5,4,4,60.4,58.0
3178,3,4,5,62.5,59.0
3179,4,5,4,61.6,56.0
3180,4,4,3,62.0,54.0
3181,3,2,6,63.7,58.0
3182,2,7,2,64.1,57.0
3183,3,6,6,59.8,56.0
3184,4,4,3,61.9,53.0
3185,5,1,4,61.5,59.0
3186,2,6,5,57.2,62.0
3187,5,6,2,62.0,59.0
3188,3,4,4,63.1,60.0
3189,4,5,5,62.7,55.0
3190,2,6,3,63.6,56.0
3191,5,3,3,59.8,60.0
3192,4,7,5,62.4,54.0
3193,1,6,3,64.4,53.0
3194,3,6,2,63.8,57.0
3195,5,6,4,61.3,60.0
3196,3,1,3,59.4,62.0
3197,2,5,2,59.1,62.0
3198,4,6,4,60.2,56.0
3199,5,3,4,62.5,59.0
3200,3,1,4,62.0,59.0
3201,5,7,2,61.9,60.0
3202,2,4,6,62.4,61.0
3203,4,6,5,61.7,53.0
3204,5,3,3,61.1,61.0
3205,4,3,3,61.5,57.0
3206,4,7,6,61.0,56.0
3207,4,6,5,61.6,56.0
3208,3,6,4,62.6,56.0
3209,4,6,5,61.1,55.0
3210,3,4,6,62.9,58.0
3211,4,3,4,62.8,56.0
3212,3,5,2,62.7,57.0
3213,2,7,5,60.2,62.0
3214,4,7,2,61.9,56.0
3215,2,4,2,63.7,57.0
3216,4,7,7,61.3,57.0
3217,4,2,2,62.5,57.0
3218,5,2,2,61.2,59.0
3219,2,5,3,63.6,58.0
3220,5,2,3,62.1,58.0
3221,4,6,2,60.7,55.0
3222,4,2,2,62.8,57.0
3223,4,2,7,59.7,54.0
3224,2,4,3,64.3,61.0
3225,2,7,1,64.0,54.0
3226,4,5,5,60.1,57.0
3227,4,6,3,61.4,56.0
3228,2,1,3,61.7,62.0
3229,4,2,4,61.4,55.0
3230,2,4,2,63.8,56.0
3231,5,6,4,61.6,58.0
3232,2,2,5,63.6,60.0
3233,4,6,2,61.5,56.0
3234,4,2,5,62.3,55.0
3235,4,2,4,62.4,56.0
3236,4,4,5,62.7,54.0
3237,1,1,2,65.5,61.0
3238,4,6,5,61.6,57.0
3239,2,5,5,63.7,55.0
3240,4,5,7,62.3,56.0
3241,4,4,5,61.6,55.0
3242,4,2,5,62.3,53.4
3243,2,7,4,62.1,59.0
3244,5,3,2,60.0,61.0
3245,5,2,8,59.4,60.0
3246,4,7,5,61.1,54.0
3247,2,6,5,59.4,55.0
3248,5,3,6,62.6,60.0
3249,5,6,7,63.0,59.0
3250,4,5,4,61.6,55.0
3251,4,5,6,62.0,56.0
3252,4,6,6,61.9,59.0
3253,4,5,4,62.3,54.0
3254,5,3,5,62.4,60.0
3255,4,3,3,62.9,56.0
3256,2,2,3,63.6,55.0
3257,5,6,3,61.6,59.0
3258,5,3,2,60.9,59.0
3259,5,7,4,60.7,58.0
3260,4,3,8,62.1,57.0
3261,3,4,5,61.1,56.0
3262,2,6,3,63.6,58.0
3263,4,7,3,60.4,57.0
3264,3,1,4,62.8,61.0
3265,4,5,8,62.2,54.0
3266,4,4,5,62.0,55.0
3267,2,4,5,63.4,58.0
3268,4,3,7,61.2,56.0
3269,3,3,2,63.3,57.0
3270,1,6,4,66.3,55.0
3271,5,7,5,60.5,59.0
3272,4,5,5,62.4,57.0
3273,2,4,5,63.3,62.0
3274,5,5,5,61.5,57.0
3275,5,4,4,62.3,58.0
3276,4,6,4,62.8,57.0
3277,4,6,6,62.1,57.0
3278,4,6,4,61.1,56.0
3279,3,2,3,62.9,54.0
3280,4,3,8,62.1,56.0
3281,4,4,4,61.8,58.0
3282,4,6,7,61.6,56.0
3283,3,3,5,61.8,59.0
3284,3,5,4,59.1,59.0
3285,3,1,5,61.7,58.0
3286,4,4,7,62.4,56.0
3287,4,5,4,61.5,55.0
3288,5,6,4,60.0,60.0
3289,4,3,3,61.8,56.0
3290,5,2,4,61.2,58.0
3291,5,5,2,61.6,58.0
3292,4,5,4,62.2,57.0
3293,3,6,3,62.6,58.0
3294,4,4,7,61.8,54.0
3295,5,6,2,61.3,59.0
3296,3,6,2,63.1,58.0
3297,5,5,2,60.2,55.0
3298,4,4,2,61.7,56.0
3299,2,5,3,63.9,59.0
3300,2,4,4,62.1,61.0
3301,4,1,8,61.0,57.0
3302,1,5,2,64.8,60.0
3303,1,1,4,64.6,58.0
3304,4,2,6,62.6,54.0
3305,3,3,4,62.3,57.0
3306,3,3,4,62.8,56.0
3307,3,7,4,63.6,56.0
3308,5,7,3,61.4,58.0
3309,4,2,5,61.6,57.0
3310,5,7,2,60.3,58.0
3311,3,6,6,62.8,57.0
3312,5,3,3,62.7,56.0
3313,3,5,3,62.9,59.0
3314,2,3,4,63.4,57.0
3315,5,4,3,61.9,57.0
3316,2,5,4,57.3,62.0
3317,4,6,7,61.7,56.0
3318,5,3,8,60.2,61.0
3319,3,4,2,60.3,63.0
3320,5,1,5,61.7,59.0
3321,3,5,2,63.2,59.0
3322,5,3,2,59.1,59.0
3323,4,2,3,62.2,55.0
3324,4,5,5,61.8,56.0
3325,5,6,4,60.7,58.0
3326,3,7,2,60.9,59.0
3327,3,5,2,60.3,63.0
3328,5,2,5,61.8,58.0
3329,4,6,3,61.8,54.0
3330,2,3,3,63.8,58.0
3331,5,3,4,59.6,59.0
3332,3,4,3,61.9,55.0
3333,5,4,2,62.5,59.0
3334,4,4,4,61.0,55.0
3335,2,3,6,60.4,56.0
3336,4,3,3,60.0,58.0
3337,3,4,6,62.6,54.0
3338,5,6,6,61.9,58.0
3339,5,6,2,61.0,60.0
3340,3,3,3,60.2,58.0
3341,5,7,4,60.3,58.0
3342,4,4,7,61.2,56.0
3343,4,3,2,61.9,55.0
3344,4,5,4,61.9,54.0
3345,4,7,5,62.2,55.0
3346,3,6,2,63.3,56.0
3347,5,4,7,61.4,58.0
3348,5,3,2,61.0,59.0
3349,5,4,4,61.8,58.0
3350,2,7,2,63.1,59.0
3351,3,6,5,61.4,61.0
3352,4,5,5,61.3,56.0
3353,5,7,3,62.3,60.0
3354,5,1,2,60.3,58.0
3355,5,5,3,61.9,58.0
3356,3,7,5,58.2,59.0
3357,5,6,4,62.6,58.0
3358,1,4,2,61.2,58.0
3359,1,5,2,64.5,58.0
3360,3,6,4,62.9,59.0
3361,5,7,4,61.3,61.0
3362,3,5,3,60.5,60.0
3363,4,6,6,61.9,58.0
3364,3,3,3,63.2,59.0
3365,4,4,8,62.8,57.0
3366,3,7,2,63.3,57.0
3367,3,6,5,61.2,58.0
3368,4,1,4,61.8,54.1
3369,4,6,8,62.9,54.0
3370,3,6,3,63.5,58.0
3371,5,2,4,61.1,59.0
3372,5,2,3,60.8,57.0
3373,5,6,5,58.5,61.0
3374,5,7,3,62.7,59.0
3375,4,2,4,62.8,57.0
3376,4,3,3,62.0,55.0
3377,5,5,3,59.0,61.0
3378,4,3,3,61.7,60.0
3379,3,5,2,61.3,61.0
3380,3,6,5,61.7,56.0
3381,3,2,7,60.8,57.0
3382,5,3,4,61.5,58.0
3383,5,5,3,62.6,58.0
3384,5,4,7,59.9,59.0
3385,5,5,4,60.3,59.0
3386,4,2,3,62.0,55.0
3387,3,6,3,62.9,56.0
3388,5,3,4,62.9,55.0
3389,3,5,3,62.1,57.0
3390,2,7,3,57.2,60.0
3391,4,3,3,61.2,57.0
3392,5,6,7,60.0,60.0
3393,5,6,7,60.7,58.0
3394,5,5,2,62.7,58.0
3395,3,4,6,61.5,60.0
3396,5,2,3,58.7,60.0
3397,3,4,7,61.2,55.8
3398,2,7,4,58.0,60.0
3399,5,3,1,59.9,60.0
3400,5,5,4,59.6,59.0
3401,5,6,3,59.8,59.0
3402,4,2,7,62.0,57.0
3403,3,2,2,60.9,59.0
3404,3,3,4,63.0,57.0
3405,3,3,3,62.3,58.0
3406,5,4,2,62.7,59.0
3407,4,7,7,61.9,56.0
3408,5,1,4,61.4,58.0
3409,3,6,6,59.4,61.0
3410,4,2,5,60.9,57.0
3411,4,4,8,61.5,55.0
3412,4,7,6,61.0,57.0
3413,5,4,4,60.4,61.0
3414,4,4,3,61.7,56.0
3415,4,5,5,62.4,55.0
3416,4,5,5,61.3,55.0
3417,4,1,2,61.8,57.0
3418,3,4,4,63.0,57.0
3419,3,2,4,62.8,59.0
3420,5,1,3,61.2,62.0
3421,3,4,6,61.2,57.0
3422,5,5,2,61.5,58.0
3423,1,3,3,56.2,61.0
3424,5,6,4,60.9,59.0
3425,2,3,3,63.3,56.0
3426,4,2,3,60.0,60.0
3427,4,5,5,61.9,54.0
3428,3,6,4,61.2,58.0
3429,4,7,3,61.8,56.0
3430,4,5,8,61.2,56.0
3431,3,2,8,59.1,61.0
3432,3,6,4,60.7,60.0
3433,2,7,3,63.8,58.0
3434,5,3,4,62.9,59.0
3435,2,1,3,58.8,61.0
3436,4,6,2,61.6,57.0
3437,3,3,3,62.2,58.0
3438,5,3,3,60.6,60.0
3439,4,5,4,62.3,56.0
3440,4,2,3,62.7,57.0
3441,4,5,4,61.3,55.0
3442,2,1,2,64.4,60.0
3443,5,5,4,59.3,59.0
3444,3,6,3,62.9,57.0
3445,5,4,3,60.6,58.0
3446,3,3,4,62.8,58.0
3447,4,6,4,61.4,56.0
3448,1,3,1,61.1,60.0
3449,2,3,3,63.7,57.0
3450,4,6,4,62.2,57.0
3451,3,6,4,63.3,56.0
3452,4,6,3,62.3,55.0
3453,5,2,2,61.9,59.0
3454,5,4,6,61.6,58.0
3455,1,2,2,65.2,59.0
3456,3,7,3,63.4,55.0
3457,5,6,4,61.0,60.0
3458,2,4,2,63.6,54.0
3459,3,5,6,58.5,59.0
3460,4,4,4,63.0,55.0
3461,3,6,2,63.3,56.0
3462,2,3,2,63.2,60.0
3463,3,5,4,63.8,55.0
3464,3,7,3,59.8,55.0
3465,4,5,3,61.3,57.0
3466,4,6,6,60.0,56.0
3467,3,5,7,61.7,56.0
3468,4,2,4,62.5,55.0
3469,5,3,2,60.2,62.0
3470,2,3,5,63.9,55.0
3471,2,2,5,60.9,63.0
3472,3,3,5,61.7,58.0
3473,3,7,2,61.8,60.0
3474,3,6,3,63.3,59.0
3475,4,3,4,62.3,54.0
3476,4,4,8,61.3,56.0
3477,5,6,3,59.2,60.0
3478,1,1,3,66.4,55.0
3479,4,4,3,60.9,56.0
3480,3,5,3,63.3,54.0
3481,4,4,3,59.6,57.0
3482,1,3,4,65.2,56.0
3483,4,5,7,60.9,57.0
3484,4,7,3,61.9,55.0
3485,4,4,8,62.4,54.0
3486,5,4,2,62.6,58.0
3487,4,3,5,63.0,56.0
3488,4,4,4,62.2,57.0
3489,4,4,5,62.1,57.0
3490,3,4,3,63.0,57.0
3491,5,7,2,62.7,58.0
3492,5,5,3,59.8,61.0
3493,5,6,7,60.8,58.0
3494,5,3,2,60.2,60.0
3495,4,2,5,61.7,56.0
3496,3,4,3,60.6,57.0
3497,4,7,2,61.2,57.0
3498,2,6,3,63.7,59.0
3499,1,5,2,56.0,60.0
3500,5,6,3,60.7,59.0
3501,2,3,6,60.4,63.0
3502,2,7,2,59.2,62.0
3503,4,5,6,61.9,56.0
3504,5,1,3,59.5,62.0
3505,4,2,1,61.3,57.0
3506,2,3,2,57.6,64.0
3507,5,4,5,62.3,58.0
3508,4,7,5,62.8,57.0
3509,4,2,5,61.7,54.0
3510,4,3,6,61.6,57.0
3511,3,4,4,62.9,60.0
3512,2,2,3,63.8,57.0
3513,2,4,7,58.0,62.0
3514,3,7,7,59.4,56.0
3515,4,4,3,61.5,55.5
3516,2,5,3,63.1,56.0
3517,4,7,4,61.1,56.0
3518,3,3,5,63.9,60.0
3519,3,5,4,63.4,57.0
3520,4,5,6,61.5,56.0
3521,4,7,4,61.2,56.0
3522,5,6,6,62.1,57.0
3523,3,5,6,62.5,56.0
3524,4,7,4,62.6,57.0
3525,5,5,4,62.1,59.0
3526,4,6,4,61.7,57.0
3527,1,5,6,60.1,66.0
3528,2,7,8,63.3,59.0
3529,4,4,2,61.2,57.0
3530,3,7,2,61.2,58.0
3531,2,4,5,60.0,60.4
3532,4,4,8,61.6,57.0
3533,4,4,4,61.0,57.0
3534,3,4,7,63.3,58.0
3535,3,6,6,61.4,62.0
3536,4,7,5,62.8,54.0
3537,3,6,4,63.2,57.0
3538,4,2,1,62.6,55.0
3539,1,4,3,65.3,76.0
3540,4,4,2,62.2,57.0
